latitude,longitude,altitude,geometry,name,name:en,railway,ele,operator:type,layer,addr:full,addr:city,source,name:ar,osm_id,osm_type
31.1576218,31.7432308,,Point,برمبال القديمة,Birimbal Al-Qadima,station,,,,,,,برمبال القديمة,1040806645,nodes
25.0486143,32.8793114,,Point,,,station,,,,,,,,1049926367,nodes
25.3100294,32.5708378,,Point,إسنا,Isna,station,,,,,,,إسنا,1049859125,nodes
24.904038,32.8799382,,Point,,,station,,,,,,,,4492770063,nodes
25.1340812,32.7781989,,Point,المحاميد,Al-Mahamid,station,,,,,,,المحاميد,1049926156,nodes
31.1633816,31.805552,,Point,ميت سلسيل,Meet Selseel,station,,,,,,,ميت سلسيل,1090852593,nodes
31.0158222,31.39332,,Point,محطة سندوب,Sandoub,station,,,,,,,محطة سندوب,2684271787,nodes
31.1727669,31.86935,,Point,الجماليه,Al-Gamaleya,station,,,,,,,الجماليه,1040806727,nodes
31.1142201,31.6526552,,Point,ميت الخولى,Meet Al-Khouly,station,,,,,,,ميت الخولى,1040806676,nodes
31.1214834,31.418748,,Point,الطويلة,,station,,,,,,,الطويلة,6487765595,nodes
31.3195897,31.6563685,,Point,كفر سعد البلد,,station,,,,,,,كفر سعد البلد,1041084561,nodes
29.8943151,31.2703737,,Point,الحوامدية,Al-Hawamdiwa,station,,,,,,,الحوامدية,316708494,nodes
29.9061043,31.2997264,,Point,المعصرة,Al-Maasara,station,,,,,,,المعصرة,5348846068,nodes
29.8794379,31.3134042,,Point,وادي حوف,Wadi Hof,station,,,,,,,وادي حوف,5344953909,nodes
31.1662726,31.4420088,,Point,بطرة,,station,,,,,,,بطرة,6487765597,nodes
31.1915543,31.5265923,,Point,شربين,Shirbin,station,,,,,,,شربين,1035397813,nodes
31.2239137,31.5779518,,Point,الصبرية,,station,,,,,,,الصبرية,6487833440,nodes
31.2078413,31.5516875,,Point,السعادوة,,station,,,,,,,السعادوة,6487833439,nodes
29.8536707,31.2774423,,Point,البدراشين,Al-Badrasheen,station,,,,,,,البدراشين,5784657560,nodes
30.1751897,31.7160192,,Point,بدر,Badr,station,,,,,,,,9885252627,nodes
24.389191,32.9281089,,Point,,,station,,,,,,,,5316869732,nodes
24.3670398,32.9270653,,Point,,,station,,,,,,,,3759916532,nodes
24.9902069,32.8893036,,Point,,Edfu,station,,,,,,,,4621674689,nodes
25.0161454,32.8842132,,Point,,,station,,,,,,,,1049926096,nodes
31.1766865,32.0350754,,Point,محطة سكة حديد المطرية,El Matareya,station,,,,,,,,1150599673,nodes
29.3412366,30.915857,,Point,,,station,,,,,,,,10685323980,nodes
30.7790381,31.9984645,,Point,محطة قطار الصالحية,Salehia,station,,,,,,,,10584291820,nodes
30.2309749,30.9533794,,Point,,,station,,,,,,,,10568095900,nodes
30.4626909,30.9388785,,Point,منوف,Menouf,station,,,,,,,منوف,5741713896,nodes
30.3670273,30.935122,,Point,,,station,,,,,,,,10576673939,nodes
30.4123671,32.312342,,Point,محطة أبو سلطان,Mahattat Abu Sultan,station,,,,,,,محطة أبو سلطان,1521675663,nodes
30.6866472,32.3354586,,Point,الفردان,Al Firdan,station,,,,,,,الفردان,768792815,nodes
31.259825,32.3005799,,Point,Port Said,,station,,,,,,,,10632775799,nodes
30.4191988,30.9227556,,Point,,,station,,,,,,,,10576658161,nodes
30.4781755,32.3192598,,Point,,,station,,,,,,,,10655486425,nodes
30.416667,32.383333,,Point,محطة خمسة,Khamsa Station,station,,,,,,,محطة خمسة,768581285,nodes
30.1281171,31.3605199,,Point,النزهة‎,El Nozha,station,,,,,,,النزهة‎,9159388953,nodes
30.3798071,31.4547718,,Point,محطة إنشاص الرمل,Inshas al Raml,station,,,,,,,محطة إنشاص الرمل,768526257,nodes
30.5363635,31.6779215,,Point,,,station,,,,,,,,10673525315,nodes
30.5725445,31.5750833,,Point,محطة أبو أكدة,Abu Akda Station,station,,,,,,,محطة أبو أكدة,768592811,nodes
